"Name","Address","Latitude","Longitude","Category","Notes","Segment"
"Pepper & Paper Apartments","34 Rue de l'Arbalete, 75005 Paris","48.8418","2.3508","Lodging","Arrival night (Jul 19). 1 night, EUR 215.35","paris"
"Ukio Tular 1979","Boulevard de Grenelle, 15e, Paris 75015","48.8534","2.2867","Lodging","Main stay Jul 20 - Aug 21 (32 nights). EUR 5,555. Bir-Hakeim / Dupleix metro.","paris"
"Bastide du Mourre","251 Chemin du Mourre, Oppede 84580","43.8314","5.1692","Lodging","Aug 21-24 (3 nights). Hyatt points. Conf# 42732343","provence"
"Domaine de Chalamon","291 Chemin de Chalamon, Saint-Remy-de-Provence 13210","43.7892","4.8581","Lodging","Aug 24-26 (2 nights). Hyatt. $1,051.86. Conf# 45813262","provence"
"Hotel Elysee Montmartre","78 Boulevard Marguerite de Rochechouart, Paris","48.8826","2.3494","Lodging","Last night Aug 26. EUR 296.10","paris"
"Basic-Fit Dupleix","Near Dupleix metro, 15e Paris","48.8507","2.2926","Gym","Self-serve kiosk, contactless card. No re-entry. Bring water.","paris"
"Neoness La Motte-Picquet","Near La Motte-Picquet metro, 15e Paris","48.8494","2.2998","Gym","Best value/quality ratio in the 15th. Good AC. English-speaking staff.","paris"
"Fitness Park Rue du Theatre","Rue du Theatre, 15e Paris","48.8468","2.2878","Gym","Strong ratings. Will let you visit before signing up.","paris"
"Front De Seine","Near Bir-Hakeim, 15e Paris","48.8548","2.2845","Gym","Reformer + RPM + boxing + sauna + squash. Best all-in-one.","paris"
"Deeply Studio de Pilates","Near Boucicaut metro, 15e Paris","48.8413","2.2876","Pilates & Yoga","Top-rated reformer in the 15th. Max 6 per class. Bilingual. Book ahead.","paris"
"The New Me Reformer Pilates","Near Convention metro, 15e Paris","48.8375","2.2968","Pilates & Yoga","Clean studio. Good atmosphere. English-friendly staff.","paris"
"Studio15 Pilates","Near Javel metro, 15e Paris","48.8435","2.2768","Pilates & Yoga","Air-conditioned. Reformer + exo chair + tower — rare combo in Paris. Bilingual.","paris"
"Club Pilates Paris Convention","Near Convention metro, 15e Paris","48.8362","2.2955","Pilates & Yoga","High-quality equipment. Name on chalkboard on arrival.","paris"
"Aja House","Near Ecole Militaire, 7e Paris","48.8556","2.3065","Pilates & Yoga","TOP PICK for Jess. Closest to Equinox-level in Paris. Reformer + yoga + barre + cardio.","paris"
"Dream Seven Paris","Near George V metro, 8e Paris","48.8719","2.3008","Pilates & Yoga","Stunning Haussmann-style space. Instructors from dance/modeling backgrounds.","paris"
"Ora Studio","Faubourg Saint-Honore, 8e Paris","48.8746","2.3125","Pilates & Yoga","Boutique hotel-level design. Pilates + yoga + matcha bar. Most polished experience.","paris"
"Ksport Studio 7","Near Rue du Bac, 7e Paris","48.8558","2.3252","Pilates & Yoga","Well-equipped. Diverse class offering. Strong community.","paris"
"Marche Grenelle","Boulevard de Grenelle, between Dupleix and La Motte-Picquet, 15e","48.8502","2.2935","Market","Home market. Produce, cheese, rotisserie chicken, flowers. Best before 11am. Dupleix end best.","paris"
"Marche President Wilson","Avenue du President Wilson, 16e Paris","48.8644","2.2982","Market","Upscale market. Great cheese, charcuterie, prepared foods. More expensive but higher quality.","paris"
"Marche Saxe-Breteuil","Avenue de Saxe, 7e Paris","48.851","2.3067","Market","Photogenic market with Eiffel Tower backdrop. Good produce, flowers, crepe stand.","paris"
"Marche Raspail","Boulevard Raspail, 6e Paris","48.8474","2.3265","Market","Sunday organic market is famous. Worth the trip once. Pricey but excellent quality.","paris"
"Marche d'Aligre","Place d'Aligre, 12e Paris","48.8492","2.3782","Market","Most local/authentic Paris market. Cheapest produce. Great North African food stalls.","paris"
"Champ de Mars","Champ de Mars, 7e Paris","48.8556","2.2986","Park & Garden","Right near the apartment. Open space for Sloane to run.","paris"
"Jardin du Luxembourg","Jardin du Luxembourg, 6e Paris","48.8462","2.3372","Park & Garden","Puppet shows, toy sailboats, playground (paid, ~EUR 2).","paris"
"Tuileries Garden","Jardin des Tuileries, 1er Paris","48.8634","2.3275","Park & Garden","Carousel, trampolines in summer.","paris"
"Bois de Boulogne","Bois de Boulogne, 16e Paris","48.8628","2.2494","Park & Garden","Rowboats, Jardin d'Acclimatation (amusement park + zoo).","paris"
"Eiffel Tower","Champ de Mars, 5 Avenue Anatole France, 7e Paris","48.8584","2.2945","Museum & Culture","Advance booking required. Kid lines available. Stroller-friendly.","paris"
"Louvre Museum","Rue de Rivoli, 1er Paris","48.8606","2.3376","Museum & Culture","Book timed entry. Kid-friendly wings (Egyptian, sculpture garden). Free under 18.","paris"
"Musee d'Orsay","1 Rue de la Legion d'Honneur, 7e Paris","48.86","2.3266","Museum & Culture","Impressionists. Book ahead. Manageable size with toddler.","paris"
"Musee de l'Orangerie","Jardin des Tuileries, 1er Paris","48.8638","2.3226","Museum & Culture","Monet water lilies. Small and toddler-friendly (quick visit).","paris"
"Cite des Sciences","30 Avenue Corentin Cariou, 19e Paris","48.8958","2.3876","Museum & Culture","Interactive kids section (Cite des Enfants for ages 2-7).","paris"
"Philharmonie des Enfants","221 Avenue Jean Jaures, 19e Paris","48.8912","2.3936","Museum & Culture","On itinerary Jul 28 with Anna, Ant, Roman.","paris"
"Jardin d'Acclimatation","Bois de Boulogne, 16e Paris","48.8778","2.2615","Attraction","Amusement park + zoo in Bois de Boulogne. Great for Sloane.","paris"
"Paris Plages","Along the Seine, Right Bank & Bassin de la Villette","48.8566","2.3522","Attraction","Temporary beaches mid-July to mid-August. Free. Kid-friendly zones with sprinklers.","paris"
"Canal Saint-Martin","Canal Saint-Martin, 10e Paris","48.8716","2.3655","Attraction","Walk along the locks, cafe-lined.","paris"
"Versailles","Place d'Armes, 78000 Versailles","48.8049","2.1204","Day Trip","Book ahead. Gardens free except fountain show days.","paris"
"Giverny (Monet's Garden)","84 Rue Claude Monet, 27620 Giverny","49.0757","1.5335","Day Trip","Best Apr-Oct. Monet's famous gardens and water lilies.","paris"
"Fontainebleau","77300 Fontainebleau","48.401","2.6987","Day Trip","Less crowded than Versailles. Forest walks.","paris"
"Chantilly","60500 Chantilly","49.1944","2.4849","Day Trip","Castle + horse museum + cream.","paris"
"Boulangerie Maison Pichard","88 Rue de la Convention, 15e Paris","48.8426","2.2936","Bakery & Cafe","Pain au chocolat, tartlets. Good for gouter (4pm snack).","paris"
"La Fontaine Gaillon","Place Gaillon, 2e Paris","48.8694","2.3353","Restaurant","From the trip sheet.","paris"
"Le Bons George","Paris","48.87","2.335","Restaurant","Reservation with Anna, Jul 26 @ 7pm.","paris"
"Gordes","Gordes, Vaucluse","43.9112","5.2006","Day Trip","Hilltop village. One of the most beautiful in Luberon.","provence"
"Roussillon (Ochre Trail)","Roussillon, Vaucluse","43.9015","5.2945","Day Trip","Famous ochre cliffs trail. Stunning red/orange landscape.","provence"
"Saint-Remy-de-Provence","Saint-Remy-de-Provence","43.7889","4.859","Day Trip","Market days, Van Gogh trail, Roman ruins (Glanum).","provence"
"Bonnieux","Bonnieux, Vaucluse","43.8243","5.3073","Day Trip","Charming Luberon village.","provence"
"Menerbes","Menerbes, Vaucluse","43.8318","5.2083","Day Trip","Luberon village. Peter Mayle's A Year in Provence.","provence"
"Mam From Hanoi","39 Rue de Clery, 75002 Paris","48.8686763","2.3483565","Restaurant","Vietnamese restaurant specializing in Northern pho. Michelin-recognized. Make reservations ASAP. Via @foodfindsryan","paris"
"Brasserie Martin","Rue Saint-Ambroise, 75011 Paris","48.8626445","2.3786484","Restaurant","Classic Parisian brasserie in the 11e. Featured in best restaurants in Paris list. Via @maddiemclark","paris"
"Early June","Rue Jean Poulmarch, 75010 Paris","48.8729295","2.3632635","Restaurant","Wine bar near Canal St Martin. From Dua Lipa's Paris guide. Via @mattconcierge","paris"
"The Hood","Rue de l'Ouest, 75014 Paris","48.833898","2.3154421","Restaurant","Creative cafe-restaurant with modern Singaporean flavours. Part of Paris's rising Asian dining scene. Via @roadbook","paris"
"Cafe 1902 at Petit Palais","Avenue Winston Churchill, 75008 Paris","48.866042","2.3153496","Restaurant","Stunning cafe inside Petit Palais museum. Garden courtyard with fountain. Serene oasis near Champs-Elysees. Via @pariscafeproject","paris"
"Bistrot Paul Bert","Rue Paul Bert, 75011 Paris","48.852223","2.3849242","Restaurant","Classic bistrot, famous for steak au poivre. Top 10 bites in Paris. Via @eat_this_","paris"
"Riverose Paris","68 Avenue de New York, 75016 Paris","48.8581532","2.2878913","Restaurant","Brunch spot right in front of the Eiffel Tower. Ultra-indulgent dishes and colorful drinks. Via @riveroseparis","paris"
"Fabula","Rue de Charenton, 75012 Paris","48.8506326","2.3732696","Restaurant","Cafe-restaurant near Le Marais. Via @mia.in.france","paris"
"Onyx Restaurant Paris","71 Rue de Provence, 75009 Paris","48.8742148","2.3324573","Restaurant","Elevated lunch menu. Fine dining in the 9e. Via @seb_hed","paris"
"Sugaar","Rue Gozlin, 75006 Paris","48.8533621","2.3336787","Restaurant","Basque steakhouse in Saint-Germain. Recommended by Dua Lipa in Tatler Travel guide. Via @tatlertravel","paris"
"Cafe-Restaurant Le Jardin du Petit Palais","Avenue Winston Churchill, 75008 Paris","48.866042","2.3153496","Restaurant","Garden courtyard cafe inside Petit Palais. Fountain and museum views. A hidden quiet spot. Via @ang.and.chris","paris"
"Rotisserie Segar","Rue Mouffetard, 75005 Paris","48.8405594","2.3497771","Restaurant","Famous rotisserie chicken caesar sandwich on Rue Mouffetard. Via @jacksdiningroom","paris"
"RORI","96 Rue Jean-Pierre Timbaud, 75011 Paris","48.867761","2.3780632","Restaurant","Kid-friendly pizza spot. The Red Pie is a favorite. Great for a quick pizza break with Sloane. Via @fanny__petit","paris"
"Verlet Paris","Rue Saint-Honore, 75001 Paris","48.8641109","2.3338964","Restaurant","Historic coffee house near Palais Royal. One of Paris's treasure spots. Via @studiocartashop","paris"
"La Grande Epicerie de Paris","Rue de Sevres, 75007 Paris","48.850004","2.3232825","Market","Legendary gourmet food hall at Le Bon Marche. Over 100 years old. Clean ingredients, whole foods, artisanal products. Via @thehapawellness","paris"
"Marche des Enfants Rouges","Rue Charlot, 75003 Paris","48.8627951","2.361973","Market","Paris's oldest food market, 400 years old. Amazing variety of prepared food stalls. Via @eatingwithtod","paris"
"Maille Paris","Place de la Madeleine, 75008 Paris","48.8689479","2.3244745","Market","Iconic mustard and condiment boutique on Place de la Madeleine. Great souvenir spot. Via @baochitravel","paris"
"Musee Carnavalet","Rue des Francs Bourgeois, 75004 Paris","48.8573232","2.3624734","Museum & Culture","Free Paris history museum in Le Marais. Beautiful courtyard. Via @marigladkaya","paris"
"Musee Rodin","77 Rue de Varenne, 75007 Paris","48.8547473","2.315867","Museum & Culture","Sunlit rooms and romantic sculpture gardens. One of the most magical spots in Paris. Via @rileejsmith","paris"
"Dior Museum","30 Avenue Montaigne, 75008 Paris","48.8666928","2.3061198","Museum & Culture","La Galerie Dior. EUR 16 entry. Great for a bestie day out. Via @toniscaglione","paris"
"Parc Monceau","Parc Monceau, 75008 Paris","48.879374","2.3088732","Park & Garden","Romantic, hidden-garden feel. Less structured than other Paris parks. Fantasy landscape with historic fragments. Via @toniscaglione","paris"
"Ile de Reuilly","Avenue des Terroirs de France, 75012 Paris","48.8305595","2.386129","Park & Garden","Hidden Paris gem in the 12e. A side of Paris most people never see. Via @kianaatravel","paris"
"Burning Bar Paris","42 Avenue Raymond Poincare, 75016 Paris","48.8664203","2.2859668","Pilates & Yoga","Hot yoga and pilates studio. Luxe self-care and fitness experience. Via @maddiemclark","paris"
"Guignol Puppet Theatre","Jardin d'Acclimatation, Bois de Boulogne, 75016 Paris","48.8778648","2.2605764","Attraction","Iconic French puppet theatre, 200+ years old. Beloved way to introduce kids to theatre. Great for Sloane. Via @americanmominparis","paris"
"Saint-Eustache Church","Place Rene Cassin, 75001 Paris","48.8633997","2.3451276","Attraction","Immersive light experience inside the church. Free. Near Les Halles. Via @dayoneinparis","paris"
"Bonhomme de Bois","Quartier de la Madeleine, 75008 Paris","48.8739228","2.3202251","Attraction","Classic Parisian toy shop. Great for kids. Via @littlegeneralkids","paris"
"Airelles Gordes, La Bastide","61 Rue de la Combe, Gordes 84220","43.9112253","5.198868","Restaurant","Luxury hotel restaurant above Gordes village. Featured in Emily in Paris. 2.5 hrs from Paris by train. Via @theluxurywifestyle","provence"